epoch,accuracy,loss,val_accuracy,val_loss
0,0.5569434,1.0233722865917272,0.4876316487789154,1.0725612636585315
1,0.60017145,0.9038804323101581,0.5975998044013977,0.999372731521087
2,0.63194954,0.8341104049265691,0.5461670160293579,1.0689147065849594
3,0.6503796,0.7932450035872075,0.6669116020202637,0.7519011043200095
4,0.6690546,0.7532442218382044,0.6443791389465332,0.8590460410457951
5,0.67848396,0.7360640644676802,0.688464343547821,0.7186638466026629
6,0.6934852,0.7081301768650006,0.6926279664039612,0.7081801638193291
7,0.7016287,0.6804132545341792,0.6960568428039551,0.7093311274661873
8,0.71167034,0.665081973231192,0.7119764685630798,0.6736205585616609
9,0.72103846,0.6492266571612268,0.7291207313537598,0.6431878249259255
10,0.7272226,0.6357747324097545,0.7376928925514221,0.6067122251649362
11,0.73475385,0.6143053156792928,0.7396522164344788,0.6216889004657118
12,0.74216264,0.6027194405051677,0.7291207313537598,0.6333611607989522
13,0.7483468,0.5933183349145268,0.764388918876648,0.5872376085116003
14,0.74932647,0.5839196079477446,0.778104305267334,0.5472963750143423
15,0.7621847,0.571479815742475,0.7158951759338379,0.6790053406358495
16,0.7659197,0.5585349812435806,0.7068331837654114,0.7345264370669753
17,0.7689199,0.5523139347479444,0.7252020835876465,0.7473351982858524
18,0.77504283,0.5421870078434408,0.7310801148414612,0.6393352515435294
19,0.7869214,0.520703628254147,0.78177809715271,0.5304761304593746
20,0.7833701,0.5194048226361412,0.7891256213188171,0.5123908254348732
21,0.7824516,0.5215432780238013,0.7457751631736755,0.6232133197807781
22,0.78973794,0.5075429726794395,0.7710016965866089,0.6042380140541874
23,0.79665685,0.49605631810060297,0.7653685808181763,0.5329321404458728
24,0.79537106,0.4948437146891749,0.799412190914154,0.4788858262808802
25,0.79708546,0.48980885342643044,0.8141072988510132,0.48410614276089975
26,0.80222875,0.4863523911194798,0.806024968624115,0.49389296324849274
27,0.8083517,0.4699867948535725,0.7761449813842773,0.5691356124785669
28,0.8084742,0.4693629610649429,0.8084741830825806,0.4760814444007986
29,0.81239283,0.46234782244859596,0.8074944615364075,0.4693264262570548
30,0.8122092,0.4582740021867259,0.8145971298217773,0.46255969062553387
31,0.81637275,0.45733790747418057,0.8329659700393677,0.4447587420769308
32,0.81649524,0.448772432668052,0.7560617327690125,0.5969318222421482
33,0.8149645,0.45010577936018326,0.7969630360603333,0.5264129713998832
34,0.8186995,0.4461521242957123,0.8317413926124573,0.4462324668606093
35,0.82323045,0.4414190350284245,0.8123928308486938,0.5008591731447757
36,0.82678175,0.43363976230406454,0.7815331816673279,0.5857352036750115
37,0.83406806,0.4181674522510382,0.8243938088417053,0.43516866836132095
